"index";"seconds";"minutes";"dateTime";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
256;256,303;4,2717166667;20220426 14:15:27;5;0,4;2;5;0,4;2
257;257,301;4,28835;20220426 14:15:28;5;0,4;2;5;0,4;2
258;258,301;4,3050166667;20220426 14:15:29;5;0,4;2;5;0,4;2
259;259,303;4,3217166667;20220426 14:15:30;5;0,4;2;5;0,4;2
260;260,299;4,3383166667;20220426 14:15:31;5;0,4;2;5;0,4;2
261;261,298;4,3549666667;20220426 14:15:32;5;0,4;2;5;0,4;2
262;262,298;4,3716333333;20220426 14:15:33;5;0,4;2;5;0,4;2
263;263,298;4,3883;20220426 14:15:34;5;0,4;2;5;0,4;2
264;264,301;4,4050166667;20220426 14:15:35;5;0,4;2;5;0,4;2
265;265,299;4,42165;20220426 14:15:36;5;0,4;2;5;0,4;2
266;266,299;4,4383166667;20220426 14:15:37;5;0,4;2;5;0,4;2
267;267,3;4,455;20220426 14:15:38;5;0,4;2;5;0,4;2
268;268,301;4,4716833333;20220426 14:15:39;5;0,4;2;5;0,4;2
269;269,302;4,4883666667;20220426 14:15:40;5;0,4;2;5;0,4;2
270;270,3;4,505;20220426 14:15:41;5;0,4;2;5;0,4;2
271;271,3;4,5216666667;20220426 14:15:42;5;0,4;2;5;0,4;2
272;272,299;4,5383166667;20220426 14:15:43;5;0,4;2;5;0,4;2
273;273,303;4,55505;20220426 14:15:44;5;0,4;2;5;0,4;2
274;274,302;4,5717;20220426 14:15:45;5;0,4;2;5;0,4;2
275;275,302;4,5883666667;20220426 14:15:46;5;0,4;2;5;0,4;2
276;276,299;4,6049833333;20220426 14:15:47;5;0,4;2;5;0,4;2
277;277,302;4,6217;20220426 14:15:48;5;0,4;2;5;0,4;2
278;278,299;4,6383166667;20220426 14:15:49;5;0,4;2;5;0,4;2
279;279,299;4,6549833333;20220426 14:15:50;5;0,4;2;5;0,4;2
280;280,303;4,6717166667;20220426 14:15:51;5;0,4;2;5;0,4;2
281;281,303;4,6883833333;20220426 14:15:52;5;0,4;2;5;0,4;2
